Invoice_ID, Transaction_Date, Vendor                       , Amount , Description              , Payment_Method
INV-00065 , 2025-12-08      , Lyft #0065                   ,   50.81, Travel/Transport purchase, 
INV-00015 , 2025-06-11      , Uber #0015                   ,    9.76, Travel/Transport purchase, Corporate Card
INV-00157 , 2025-08-25      , GITHUB_69CA97                ,  100.76, SaaS/Cloud purchase      , ACH
INV-00041 , 2025-05-08      , WALMART_DFDE4F               ,   48.42, Office Supplies purchase , Corporate Card
INV-00324 , 2025-02-14      , Shell #0324                  ,  116.75, Travel/Transport purchase, Corporate Card
INV-00288 , 2025-08-18      , AIRBNB_9D8776                ,   43.92, Travel/Transport purchase, Corporate Card
INV-00217 , 2025-09-15      , DROPBOX_38B77C               ,   18.13, SaaS/Cloud purchase      , 
INV-00280 , 2025/99/99      , Verizon #0280                ,   23.33, Utilities purchase       , Corporate Card
INV-00316 , 2025-01-14      , UBER *BC5530                 ,   30.38, Travel/Transport purchase, Corporate Card
INV-00237 , 2025-08-03      , Airbnb #0237                 ,    8.03, Travel/Transport purchase, ACH
INV-00208 , 2025-03-04      , POS-OFFICE DEPOT-F2F25E      ,   41.84, Office Supplies purchase , Corporate Card
INV-00213 , 2025-02-26      , OFFICE DEPOT_A93B12          ,   55.71, Office Supplies purchase , ACH
INV-00322 , 2025-04-13      , UBER *CAC4D0                 ,   44.12, Travel/Transport purchase, ACH
INV-00252 , 2025-02-10      , At&T #0252                   ,   54.41, Utilities purchase       , Wire
INV-00344 , 2025-03-23      , POS-OFFICE DEPOT-7F8E54      ,   21.55, Office Supplies purchase , Corporate Card
INV-00323 , 2025-07-04      , Comcast #0323                ,   17.6 , Utilities purchase       , Corporate Card
INV-00270 ,                 , VERIZON_F020E9               ,   32.62, Utilities purchase       , Wire
INV-00202 , 2025-02-19      , COMCAST *3C1BDA              ,   43.14, Utilities purchase       , Corporate Card
INV-00162 , 2025-08-25      , UBER_F27292                  ,   49.98, Travel/Transport purchase, ACH
INV-00044 , 2025-03-26      , COMCAST_610461               ,   24.64, Utilities purchase       , Corporate Card
INV-00218 , 2025-11-26      , WALMART_F6CA6B               ,   25.69, Office Supplies purchase , Corporate Card
INV-00191 , 2025-08-14      , Slack #0191                  ,   22.42, SaaS/Cloud purchase      , ACH
INV-00260 , 01/20/2025      , City Water #0260             ,   49.58, Utilities purchase       , Corporate Card
INV-00106 , 2025-08-04      , DUKE ENERGY_4094DD           ,   38.96, Utilities purchase       , Corporate Card
INV-00054 , 2025-05-16      , Shell #0054                  ,   44.59, Travel/Transport purchase, Corporate Card
INV-00002 , 2025-02-14      , POS-GITHUB-972A84            ,   27.39, SaaS/Cloud purchase      , Corporate Card
INV-00050 , not-a-date      , Github #0050                 ,    9.53, SaaS/Cloud purchase      , Wire
INV-00081 , 2025-10-08      , WALMART_D56F03               ,   25.98, Office Supplies purchase , Wire
INV-00206 , 2025-05-01      , City Water #0206             ,   16.29, Utilities purchase       , Corporate Card
INV-00035 , 2025-05-02      , POS-GITHUB-474A49            ,   51.14, SaaS/Cloud purchase      , ACH
INV-00264 , 2025-02-13      , SLACK *812A1F                ,   15.4 , SaaS/Cloud purchase      , Corporate Card
INV-00092 , 2025-09-01      , Verizon #0092                ,   56.24, Utilities purchase       , ACH
INV-00053 , 2025-10-16      , AT&T_FF002D                  ,   19.3 , Utilities purchase       , Corporate Card
INV-00265 , 2025-08-13      , AIRBNB *86295B               ,   25.43, Travel/Transport purchase, Wire
INV-00242 , 2025-09-07      , Target #0242                 ,   27.81, Office Supplies purchase , Corporate Card
INV-00014 , 2025-04-23      , Target #0014                 ,    8.64, Office Supplies purchase , Corporate Card
INV-00089 , 2025-04-01      , POS-VERIZON-CDDA24           ,   21.24, Utilities purchase       , Corporate Card
INV-00274 , 2025-02-21      , SLACK_81F7F3                 ,   30.16, SaaS/Cloud purchase      , Wire
INV-00167 , 2025-10-28      , POS-AMAZON MARKETPLACE-9475DB,   51.13, Office Supplies purchase , ACH
INV-00347 , 2025-09-11      , POS-SLACK-98F6FD             ,   11.69, SaaS/Cloud purchase      , Wire
INV-00135 , 2025-01-27      , POS-OFFICE DEPOT-40A26C      ,   16.48, Office Supplies purchase , Corporate Card
INV-00307 , 2025-06-06      , POS-AMAZON MARKETPLACE-722789,   68.75, Office Supplies purchase , ACH
INV-00339 , 2025-06-13      , Delta Airlines #0339         ,   39.19, Travel/Transport purchase, Corporate Card
INV-00244 , 2025-03-12      , Office Depot #0244           ,   52.6 , Office Supplies purchase , Wire
INV-00055 , 2025-05-26      , POS-DELTA AIRLINES-286218    ,   58.57, Travel/Transport purchase, 
INV-00051 , 2025-05-03      , POS-DELTA AIRLINES-43FF50    ,   36.99, Travel/Transport purchase, ACH
INV-00175 , 2025-07-14      , Target #0175                 ,   35.87, Office Supplies purchase , Corporate Card
INV-00190 ,                 , SHELL *C16D83                ,   11.19, Travel/Transport purchase, Corporate Card
INV-00351 , 2025-04-21      , Office Depot #0006           ,   25.73, Office Supplies purchase , Corporate Card
INV-00188 , 2025-01-05      , DUKE ENERGY_90E0B9           ,  714.5 , Utilities purchase       , 
INV-00170 , 07/30/2025      , POS-VERIZON-517400           ,   18.36, Utilities purchase       , Corporate Card
INV-00059 , 2025-09-16      , Delta Airlines #0059         ,   37.16, Travel/Transport purchase, Corporate Card
INV-00049 , 2025-07-26      , MICROSOFT AZURE *1EB0E3      ,   37.46, SaaS/Cloud purchase      , 
INV-00236 , 2025-03-14      , COMCAST_BDB025               ,   45.24, Utilities purchase       , Corporate Card
INV-00253 , 2025-03-28      , DELTA AIRLINES_138D99        ,  119.03, Travel/Transport purchase, 
INV-00022 , 2025-01-06      , TARGET_AE270D                ,   25.87, Office Supplies purchase , 
INV-00314 , 2025-08-16      , AMAZON MARKETPLACE_C35981    ,   50.84, Office Supplies purchase , 
INV-00161 , 2025-01-08      , POS-TARGET-8D6059            ,   15.9 , Office Supplies purchase , Corporate Card
INV-00277 , 2025-05-26      , POS-AT&T-C09CB5              ,   34.1 , Utilities purchase       , ACH
INV-00192 , 2025-06-17      , POS-SLACK-BF5AE7             ,   52.28, SaaS/Cloud purchase      , ACH
INV-00294 , 2025-10-20      , OFFICE DEPOT *6AA42C         ,   52.05, Office Supplies purchase , Corporate Card
INV-00258 , 2025-02-04      , POS-AIRBNB-780B36            ,   18.92, Travel/Transport purchase, Wire
INV-00309 , 2025-11-24      , DUKE ENERGY_FAE311           ,   42.76, Utilities purchase       , Corporate Card
INV-00150 , 2025/99/99      , MICROSOFT AZURE_964DB0       ,   36.34, SaaS/Cloud purchase      , Wire
INV-00131 , 2025-04-27      , DELTA AIRLINES *5C62B3       ,   10.94, Travel/Transport purchase, Wire
INV-00152 , 2025-08-12      , POS-SHELL-A28140             ,   37.53, Travel/Transport purchase, Corporate Card
INV-00100 ,                 , CITY WATER *BC10FA           ,   25.73, Utilities purchase       , Corporate Card
INV-00088 , 2025-05-05      , CITY WATER_25C73C            ,   37.1 , Utilities purchase       , Corporate Card
INV-00331 , 2025-11-17      , OFFICE DEPOT_4D85E9          ,   29.73, Office Supplies purchase , 
INV-00215 , 2025-01-27      , POS-DELTA AIRLINES-20733F    ,   24.41, Travel/Transport purchase, 
INV-00122 , 2025-05-24      , Amazon Marketplace #0122     ,   16.59, Office Supplies purchase , 
INV-00353 , 2025-03-26      , POS-WALMART-D72B61           ,   22.8 , Office Supplies purchase , ACH
INV-00021 , 2025-07-15      , POS-DROPBOX-988C24           ,   77.69, SaaS/Cloud purchase      , 
INV-00189 , 2025-04-28      , Duke Energy #0189            ,   17.28, Utilities purchase       , ACH
INV-00072 , 2025-06-19      , AT&T_F071D8                  ,   81.43, Utilities purchase       , Corporate Card
INV-00107 , 2025-01-27      , Github #0107                 ,  102.11, SaaS/Cloud purchase      , ACH
INV-00271 , 2025-03-07      , DUKE ENERGY_AB8CBF           ,   76.46, Utilities purchase       , Corporate Card
INV-00349 , 2025-01-24      , DUKE ENERGY_668C84           ,   18.78, Utilities purchase       , 
INV-00103 , 2025-10-31      , DROPBOX_907BFE               ,   23.98, SaaS/Cloud purchase      , Corporate Card
